,index,Inhibition Observed,h_bond_donors,h_bond_acceptors,molar_refractivity,molecular_weight,n_atoms,n_carbons,n_heteroatoms,n_rings,n_rot_bonds,logp,tpsa,n_heavy_atoms,n_aromatic_atom,single_bond,double_bond,triple_bond,aromatic_bond
0,8,1,1.0,6.0,74.67220000000003,291.067762276,20.0,13.0,7.0,3.0,3.0,2.1239999999999997,73.34,20.0,11.0,20.0,2.0,0.0,22.0
1,13,1,1.0,4.0,82.43020000000003,292.070405132,19.0,14.0,5.0,2.0,5.0,3.8344200000000024,41.46,19.0,10.0,16.0,4.0,0.0,20.0
2,18,1,1.0,4.0,82.11070000000002,291.086389544,19.0,14.0,5.0,3.0,3.0,3.9799900000000026,33.61,19.0,10.0,18.0,4.0,0.0,20.0
3,23,1,1.0,5.0,64.64470000000003,249.057197592,17.0,11.0,6.0,3.0,2.0,2.3562899999999996,52.07000000000001,17.0,11.0,14.0,2.0,0.0,22.0
4,28,1,2.0,2.0,81.29850000000005,327.04289869999997,21.0,15.0,6.0,2.0,4.0,3.276600000000001,66.4,21.0,6.0,26.0,6.0,0.0,12.0
5,33,1,1.0,4.0,67.14970000000004,251.115758024,18.0,13.0,5.0,2.0,4.0,1.8212999999999997,56.790000000000006,18.0,6.0,24.0,2.0,0.0,12.0
6,38,1,2.0,4.0,80.27740000000006,310.189257312,22.0,16.0,6.0,3.0,4.0,0.8880000000000008,76.66000000000001,22.0,0.0,44.0,4.0,0.0,0.0
7,43,1,0.0,2.0,84.19000000000004,312.079618556,20.0,15.0,5.0,2.0,3.0,3.170700000000002,23.55,20.0,6.0,26.0,4.0,0.0,12.0
8,48,1,1.0,3.0,75.59270000000002,278.08891232,19.0,14.0,5.0,2.0,4.0,3.9338000000000024,41.99,19.0,11.0,16.0,2.0,0.0,22.0
9,53,1,1.0,5.0,87.16540000000003,309.195345736,23.0,18.0,5.0,2.0,3.0,2.45284,100.63,23.0,0.0,38.0,4.0,6.0,0.0
10,58,1,2.0,7.0,73.48890000000002,286.07020479999994,21.0,13.0,8.0,3.0,3.0,1.4412999999999998,110.11000000000001,21.0,15.0,10.0,4.0,0.0,32.0
11,63,1,2.0,1.0,89.69340000000003,310.0939977,22.0,18.0,4.0,4.0,1.0,3.7020000000000017,24.06,22.0,12.0,22.0,4.0,0.0,24.0
12,68,1,0.0,4.0,95.21500000000002,340.088163372,24.0,18.0,6.0,3.0,4.0,3.2333000000000016,53.760000000000005,24.0,11.0,22.0,8.0,0.0,22.0
13,73,1,0.0,4.0,90.20980000000006,340.14567824799997,23.0,16.0,7.0,2.0,5.0,1.8621999999999999,66.92,23.0,6.0,30.0,6.0,0.0,12.0
14,78,1,1.0,3.0,86.87850000000006,336.094391624,23.0,16.0,7.0,2.0,6.0,1.9081000000000001,66.48,23.0,12.0,18.0,6.0,0.0,24.0
15,83,1,1.0,7.0,71.54570000000004,249.17019360799998,18.0,11.0,7.0,1.0,5.0,1.0652799999999998,80.97,18.0,6.0,22.0,0.0,2.0,12.0
16,88,1,1.0,4.0,67.47920000000002,243.100776656,18.0,13.0,5.0,2.0,3.0,2.05534,67.49000000000001,18.0,11.0,12.0,4.0,0.0,22.0
17,93,1,1.0,4.0,89.64720000000004,312.14739249999997,23.0,18.0,5.0,3.0,4.0,3.0123200000000008,50.80000000000001,23.0,12.0,24.0,2.0,0.0,24.0
18,98,1,1.0,2.0,85.78070000000005,289.20417910400005,21.0,18.0,3.0,2.0,4.0,3.8296600000000023,38.33,21.0,6.0,30.0,2.0,0.0,12.0
19,103,1,0.0,4.0,100.20300000000003,337.179026976,25.0,20.0,5.0,3.0,6.0,4.145300000000003,49.050000000000004,25.0,11.0,26.0,6.0,0.0,22.0
20,108,1,2.0,2.0,69.60590000000003,244.121177752,18.0,14.0,4.0,3.0,3.0,2.0767,54.12,18.0,9.0,18.0,2.0,0.0,20.0
21,113,1,1.0,1.0,63.01520000000004,205.146664228,15.0,13.0,2.0,1.0,4.0,2.9134200000000012,29.1,15.0,6.0,16.0,2.0,0.0,12.0
22,118,1,2.0,6.0,65.85940000000002,259.095691276,19.0,13.0,6.0,3.0,2.0,-0.4770000000000005,80.32,19.0,6.0,24.0,6.0,0.0,12.0
23,123,1,1.0,5.0,82.40680000000002,296.068473484,22.0,17.0,5.0,3.0,2.0,2.534400000000001,76.74,22.0,17.0,8.0,4.0,0.0,36.0
24,128,1,0.0,6.0,85.25900000000004,314.120132196,22.0,16.0,6.0,4.0,4.0,3.8125000000000027,52.31,22.0,14.0,20.0,0.0,0.0,30.0
25,133,1,0.0,4.0,68.83150000000002,267.02331062,17.0,11.0,6.0,2.0,2.0,2.7765200000000014,46.09,17.0,11.0,12.0,2.0,0.0,22.0
26,138,1,2.0,2.0,86.33390000000003,284.098334132,20.0,16.0,4.0,2.0,3.0,3.142220000000002,41.129999999999995,20.0,12.0,14.0,4.0,0.0,24.0
27,143,1,1.0,3.0,91.67020000000005,310.168127944,23.0,19.0,4.0,3.0,4.0,3.0795200000000014,41.57000000000001,23.0,12.0,24.0,2.0,0.0,24.0
28,148,1,2.0,5.0,86.95340000000002,313.09973110000004,22.0,15.0,7.0,3.0,4.0,2.70054,83.56,22.0,15.0,14.0,2.0,0.0,32.0
29,153,1,0.0,4.0,81.40100000000004,308.092770084,21.0,15.0,6.0,2.0,3.0,1.7177999999999993,49.85000000000001,21.0,6.0,26.0,6.0,0.0,12.0
30,158,1,1.0,2.0,79.69270000000003,268.14443861609,20.0,16.0,4.0,3.0,3.0,2.7484,37.39,20.0,13.0,12.0,2.0,0.0,30.0
31,163,0,0.0,2.0,56.31600000000004,190.146998576,14.0,12.0,2.0,3.0,0.0,2.5950000000000006,17.82,14.0,5.0,22.0,0.0,0.0,10.0
32,168,1,0.0,4.0,72.67150000000004,262.120509056,19.0,15.0,4.0,2.0,4.0,3.7051200000000026,48.67,19.0,9.0,18.0,2.0,0.0,20.0
33,173,1,1.0,6.0,81.00440000000002,305.12766009999996,23.0,17.0,6.0,3.0,1.0,1.63474,113.77,23.0,5.0,30.0,4.0,6.0,10.0
34,178,1,1.0,6.0,85.56770000000004,348.13213636,25.0,17.0,8.0,2.0,6.0,1.544599999999999,102.01,25.0,6.0,32.0,8.0,0.0,12.0
35,183,1,3.0,4.0,47.25440000000002,198.05282342,14.0,9.0,5.0,1.0,3.0,0.5187999999999997,86.99000000000001,14.0,6.0,14.0,2.0,0.0,12.0
36,188,1,2.0,4.0,75.62850000000002,290.07251330799994,20.0,14.0,6.0,2.0,3.0,2.3238800000000004,90.19000000000001,20.0,5.0,24.0,6.0,2.0,10.0
